cenario,variavel,atual_min,atual_media,atual_max,futuro_min,futuro_media,futuro_max,delta_min,delta_media,delta_max
ssp245,bio5_temp_max_mes_quente,26.022750854492188,32.50180589992106,36.47425079345703,27.822750854492188,34.30180589991352,38.27425079345703,1.7999999999999972,1.7999999999995724,1.8000000000000007
ssp245,bio8_temp_media_trimestre_umido,20.016624450683594,25.656714724385548,27.894001007080078,21.816624450683594,27.456714724378916,29.69400100708008,1.8000000000000007,1.7999999999995724,1.8000000000000007
ssp245,bio12_precipitacao_anual,1110,2211.7631477631476,3788,1056.2099999999998,2102.884990375099,3600.31,-187.69000000000005,-108.87815738815165,-53.79000000000019
ssp245,bio13_precipitacao_mes_umido,199,328.976283976284,593,190.76,314.23746977745384,565.06,-27.940000000000055,-14.73881419881474,-8.240000000000009
ssp245,bio14_precipitacao_mes_seco,0,55.93077693077693,245,1.71,54.84423808424235,234.46,-10.539999999999992,-1.0865388465389523,1.71
ssp245,bio18_precipitacao_trimestre_quente,37,402.77069377069375,908,36.85999999999999,384.3421590821425,864.31,-43.690000000000055,-18.428534688535407,-0.14000000000000767
ssp245,bio19_precipitacao_trimestre_frio,13,605.6365596365596,1656,14.06,577.0647316547065,1574.9099999999999,-81.09000000000015,-28.57182798182975,1.0600000000000005
ssp245,elevacao,0,179.06983906983908,1386,0,179.06983906983908,1386,0,0,0
ssp245,declividade,0,0.06815963961093485,1.2018144130706787,0,0.06815963961093485,1.2018144130706787,0,0,0
ssp245,orientacao,0,167.66198253095283,360,0,167.66198253095283,360,0,0,0
ssp370,bio3_isotermalidade,64.64842987060547,78.18671811424649,92.434478759765625,64.64842987060547,78.18671811424649,92.434478759765625,0,0,0
ssp370,bio4_sazonalidade_temperatura,23.266281127929688,52.02426403242748,190.0337371826172,28.255848742675784,59.429502211151465,209.03177110595706,4.989567614746097,7.405238178723903,18.998033923339875
ssp370,bio5_temp_max_mes_quente,26.022750854492188,32.50180589992106,36.47425079345703,28.822750854492188,35.301805899913404,39.27425079345703,2.799999999999997,2.7999999999998253,2.8000000000000007
ssp370,bio8_temp_media_trimestre_umido,20.016624450683594,25.656714724385548,27.894001007080078,22.816624450683594,28.45671472437874,30.69400100708008,2.8000000000000007,2.7999999999998253,2.8000000000000007
ssp370,bio12_precipitacao_anual,1110,2211.7631477631476,3788,1023.776,2037.3980959420785,3487.5360000000005,-300.4639999999995,-174.36505182105375,-86.22400000000005
ssp370,bio13_precipitacao_mes_umido,199,328.976283976284,593,185.656,305.2341812581786,548.136,-44.86400000000003,-23.742102718102732,-13.343999999999994
ssp370,bio14_precipitacao_mes_seco,0,55.93077693077693,245,2.576,54.03231477631519,227.97600000000003,-17.023999999999972,-1.898462154462056,2.576
ssp370,bio18_precipitacao_trimestre_quente,37,402.77069377069375,908,36.616,373.12503826903736,837.936,-70.06399999999996,-29.645655501655316,-0.38400000000000034
ssp370,bio19_precipitacao_trimestre_frio,13,605.6365596365596,1656,14.536000000000001,559.7616348656418,1526.096,-129.904,-45.87492477092424,1.5360000000000014
ssp370,elevacao,0,179.06983906983908,1386,0,179.06983906983908,1386,0,0,0
ssp370,declividade,0,0.06815963961093485,1.2018144130706787,0,0.06815963961093485,1.2018144130706787,0,0,0
ssp370,orientacao,0,167.66198253095283,360,0,167.66198253095283,360,0,0,0
ssp585,bio3_isotermalidade,64.64842987060547,78.18671811424649,92.434478759765625,64.64842987060547,78.18671811424649,92.434478759765625,0,0,0
ssp585,bio4_sazonalidade_temperatura,23.266281127929688,52.02426403242748,190.0337371826172,30.538234863281254,62.74717571631898,217.31778564453128,7.271953735351566,10.722911683891324,27.284048461914097
ssp585,bio5_temp_max_mes_quente,26.022750854492188,32.50180589992106,36.47425079345703,30.022750854492188,36.50180589992106,40.47425079345703,4,4,4
ssp585,bio8_temp_media_trimestre_umido,20.016624450683594,25.656714724385548,27.894001007080078,24.016624450683594,29.656714724385548,31.894001007080078,4,4,4
ssp585,bio12_precipitacao_anual,1110,2211.7631477631476,3788,980.32,1949.8715700315624,3336.96,-451.03999999999996,-261.89157773157797,-129.67999999999995
ssp585,bio13_precipitacao_mes_umido,199,328.976283976284,593,178.64000000000001,293.01912989912944,525.36,-67.63999999999999,-35.957154077154044,-20.359999999999985
ssp585,bio14_precipitacao_mes_seco,0,55.93077693077693,245,3.52,52.73908369908477,219.12,-25.879999999999995,-3.1916932316931867,3.52
ssp585,bio18_precipitacao_trimestre_quente,37,402.77069377069375,908,36.08,357.9582105182104,802.5600000000001,-105.43999999999994,-44.812483252483105,-0.9200000000000017
ssp585,bio19_precipitacao_trimestre_frio,13,605.6365596365596,1656,14.96,536.480172480172,1460.8,-195.20000000000005,-69.1563871563879,1.9600000000000009
ssp585,elevacao,0,179.06983906983908,1386,0,179.06983906983908,1386,0,0,0
ssp585,declividade,0,0.06815963961093485,1.2018144130706787,0,0.06815963961093485,1.2018144130706787,0,0,0
ssp585,orientacao,0,167.66198253095283,360,0,167.66198253095283,360,0,0,0
