especie,lon,lat,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,elevacao,declividade,orientacao
Dinizia excelsa Ducke,-52.946266,1.963061,80.69622039794922,59.14328384399414,31.990249633789063,25.200624465942383,2360,343,58,209,767,217,0.1870661077522447,68.29744016334905
Dinizia excelsa Ducke,-61.649722,-9.591111,70.72169494628906,43.33748626708984,32.95075225830078,25.034332275390625,2157,338,17,260,129,152,0.01710447110380925,316.6404645185503
Dinizia excelsa Ducke,-61.646944,-9.359167,70.78880310058594,42.09244918823242,32.93300247192383,25.037416458129883,2187,334,16,277,135,158,0.01767386195738947,318.38408590222207
Dinizia excelsa Ducke,-64.348888,-9.244167,73.4112548828125,50.661773681640625,33.3385009765625,26.11858367919922,1996,293,25,472,173,95,0.03638410233776499,335.2164459982274
Dinizia excelsa Ducke,-60.09,-2.3828,81.82691955566406,45.445594787597656,31.76549911499023,26.09608268737793,2404,319,98,427,790,99,0.05363714697421868,248.31418131185865
Dinizia excelsa Ducke,-56.464167,-4.672222,77.35296630859375,54.63097381591797,32.77975082397461,26.207624435424805,2134,309,65,388,839,73,0.02031086717410182,316.64253180240235
Dinizia excelsa Ducke,-51.972222,0.973889,78.49195861816406,68.9582290649414,32.010250091552734,25.351333618164063,2379,336,59,194,865,184,0.0498637383211406,198.0412267375307
Dinizia excelsa Ducke,-64.048056,-9.081667,72.86280059814453,48.65624237060547,33.17274856567383,25.8439998626709,2112,322,24,488,175,112,0.04358903865954846,356.915652233935
Dinizia excelsa Ducke,-64.736111,-9.444722,74.23649597167969,52.480735778808594,33.2234992980957,26.16904067993164,1857,263,24,446,171,113,0.02170515079046603,59.91187029366193
Dinizia excelsa Ducke,-64.617222,-9.263055,73.86454010009766,50.56161117553711,33.247501373291016,26.131290435791016,1948,281,25,465,172,102,0.03808905842496284,64.62584765608231
Dinizia excelsa Ducke,-48.798889,-2.180556,86.45116424560547,39.39651870727539,31.7237491607666,25.92275047302246,2437,423,64,216,1156,29,0.02767576847289124,296.70167568931157
Dinizia excelsa Ducke,-56.893889,-2.158056,77.27635955810547,66.43138122558594,32.89125061035156,26.25149917602539,2417,399,50,254,1012,69,0.04539602960301643,84.596550514995
Dinizia excelsa Ducke,-60.658681,-3.154839,83.69599914550781,41.37446975708008,31.86349868774414,26.34941673278809,2236,304,51,363,876,42,0.03204062984700638,98.36908562512812
Dinizia excelsa Ducke,-62.05,-1.01,87.56275177001953,31.432470321655273,31.506250381469727,26.12787437438965,2594,341,150,474,832,32,0.03788480243015338,195.3652192438124
Dinizia excelsa Ducke,-48.330556,-3.34,86.885955810546875,40.19551467895508,31.6877498626709,25.675582885742188,2045,386,42,205,1016,112,0.10940094840066684,356.5549795414054
Dinizia excelsa Ducke,-48.483611,-3.285833,87.18194580078125,40.714012145996094,31.860750198364254,25.855499267578125,2125,397,46,209,1051,74,0.04650504604426214,350.4284692666133
Dinizia excelsa Ducke,-59.407778,-10.223611,68.28376770019531,49.40061950683594,33.872249603271484,24.959625244140625,1949,332,8,230,91,272,0.1931156874966092,356.5066072679533
Dinizia excelsa Ducke,-59.860682,-2.442484,81.28404235839844,47.41268157958984,31.71125030517578,26.01241683959961,2393,319,98,421,792,117,0.00695455001246816,90
Dinizia excelsa Ducke,-59.685556,-2.315278,81.02991485595703,48.05419158935547,31.919750213623047,26.181625366210938,2398,324,106,410,789,90,0.04828838444331054,176.3304553002544
Dinizia excelsa Ducke,-60.063819,-3.553975,81.84859466552734,45.436492919921875,32.118499755859375,26.447250366210938,2184,285,60,369,834,28,0.02365141759637142,345.800656282734
Dinizia excelsa Ducke,-59.74583,-2.41625,80.78584289550781,48.940696716308594,31.828248977661133,26.087833404541016,2376,315,98,408,802,105,0.03225837488316414,96.22453639333742
Dinizia excelsa Ducke,-63.216667,-9.1,71.271820068359375,48.023101806640625,33.02425003051758,25.540708541870117,2297,370,13,504,176,101,0.0207342385775623,325.55777054602214
Dinizia excelsa Ducke,-51.616667,0.166667,78.87757873535156,68.5295181274414,32.748748779296875,25.798166275024418,2338,345,37,150,901,44,0.09069872417499508,129.99468698685368
Dinizia excelsa Ducke,-51.62,-0.17,80.06658935546875,64.2341537475586,32.951751708984375,25.953582763671875,2383,329,46,194,900,12,0.04056879254135102,125.0830433706951
Dinizia excelsa Ducke,-58.966667,-4.116667,79.57337951660156,50.833099365234375,32.54999923706055,26.591251373291016,2234,292,85,362,837,34,0.02000410718505498,352.2169991162232
Dinizia excelsa Ducke,-63.11666,-9.16666,71.58234405517578,48.47687149047851,32.586997985839844,25.401500701904297,2351,380,13,510,177,113,0.02442497925667599,308.3545741042965
Dinizia excelsa Ducke,-54.355206,-11.524631,68.98633575439453,64.53893280029297,34.56850051879883,25.13774871826172,1890,331,1,481,47,352,0.03783147054573661,88.8227744512111
Dinizia excelsa Ducke,-65.18,-4.88,83.782257080078125,28.218034744262695,32.050750732421875,26.379249572753903,2442,316,89,500,408,90,0.00988342023922366,64.37183782079431
Dinizia excelsa Ducke,-60.535278,-3.603056,83.71955108642578,39.335968017578125,32.06449890136719,26.451915740966797,2246,298,57,377,866,28,0.01499530509264532,343.5174791807045
Dinizia excelsa Ducke,-56.126789,-9.839442,66.76979064941406,66.635986328125,36.36125183105469,25.923166275024418,2235,339,8,339,991,288,0.04045749804472422,8.353368867153057
Dinizia excelsa Ducke,-53.837778,-3.389167,79.39440155029297,52.68865585327149,31.072500228881836,24.802583694458008,1674,299,39,172,751,197,0.0905782984953182,337.93257078561004
Dinizia excelsa Ducke,-62.944722,-9.116111,71.64078521728516,47.546852111816406,32.5099983215332,25.34633445739746,2410,390,14,533,176,113,0.02670031664082757,329.1762113956873
Dinizia excelsa Ducke,-57.846944,-9.122222,67.594818115234375,38.75631332397461,34.22875213623047,25.40945816040039,1959,316,7,271,888,247,0.1342708081875241,300.81686159355513
Dinizia excelsa Ducke,-52.380833,-1.3825,82.68817901611328,56.89046478271485,32.548500061035156,26.10562515258789,2087,320,44,168,707,18,0.10370835136664544,141.55270777184856
Dinizia excelsa Ducke,-53.244722,-0.764722,80.872100830078125,62.30110549926758,30.87299919128418,24.51704216003418,2163,319,53,169,770,346,0.10309194684743445,218.7097579691659
Dinizia excelsa Ducke,-51.658889,0.9675,77.76630401611328,70.84114837646484,32.27674865722656,25.65216636657715,2319,337,42,151,882,119,0.07452215044298127,108.5485167103494
Dinizia excelsa Ducke,-48.583333,-3.794722,85.63500213623047,42.44490814208984,32.05699920654297,25.776582717895508,2044,383,36,211,1021,113,0.02888383809156728,288.026611430761
Dinizia excelsa Ducke,-63.251111,-8.915278,72.39253234863281,45.38854217529297,32.66225051879883,25.48370933532715,2287,363,15,500,178,95,0.02199403816462547,297.3488846568025
Dinizia excelsa Ducke,-56.306111,-1.655278,79.0546646118164,64.2703628540039,32.88574981689453,26.35212516784668,2413,395,72,293,950,66,0.05622844720584128,77.222318459457
Dinizia excelsa Ducke,-61.595136,-7.948514,72.08264923095703,37.34532165527344,33.41350173950195,25.65858268737793,2446,370,22,364,215,112,0.03930979525955933,303.61617114309723
Dinizia excelsa Ducke,-51.954722,-3.227222,79.98931121826172,56.432159423828125,32.276248931884766,25.126249313354492,2133,371,36,154,972,147,0.0909993892689806,45.198538298577375
Dinizia excelsa Ducke,-64.205556,-9.143889,73.23704528808594,48.799835205078125,33.14925003051758,25.975582122802734,2064,311,24,481,172,94,0.03157304472895854,320.84585220731975
Dinizia excelsa Ducke,-63.591667,-8.581667,72.02839660644531,44.630950927734375,32.94049835205078,25.742584228515625,2232,345,18,493,175,71,0.02227455312693202,335.1272276783448
Dinizia excelsa Ducke,-64.591356,-9.411556,73.602935791015625,52.54551696777344,33.40925216674805,26.13545799255371,1920,275,25,461,175,121,0.04312306105934289,21.83886285117961
Dinizia excelsa Ducke,-64.654939,-9.620525,73.82600402832031,53.68148422241211,33.265499114990234,26.085248947143555,1884,273,24,449,171,135,0.05064395113335627,12.953126229671318
Dinizia excelsa Ducke,-60.285058,-2.439172,82.43030548095703,43.41608047485352,31.79800033569336,26.19270896911621,2389,319,93,424,795,77,0.05211623308011549,227.8465570807305
Dinizia excelsa Ducke,-56,-4,77.2273941040039,61.41438293457031,33.09175109863281,26.128082275390625,2019,306,66,305,829,63,0.1658187924578694,168.42142070442912
Dinizia excelsa Ducke,-51.972222,-0.973889,82.09739685058594,56.55431365966797,32.614749908447266,26.063791275024418,2500,361,52,227,846,18,0.05189946871129161,104.7494423044098
Dinizia excelsa Ducke,-64.736111,-9.744722,74.5223388671875,55.49674987792969,33.11600112915039,26.146041870117188,1807,270,23,428,165,147,0.05462035326880912,315.3571228039502
Dinizia excelsa Ducke,-65.355556000000007,-4.898333,83.62947845458984,28.80950355529785,32.035247802734375,26.37583351135254,2461,319,87,502,408,88,0.00839934309080822,33.60932649661278
Dinizia excelsa Ducke,-64.95,-9.646944,74.60795593261719,54.94429016113281,33.16025161743164,26.267749786376953,1779,262,22,426,163,123,0.0037109455010458,71.68920906372409
Dinizia excelsa Ducke,-48.798889,-2.797222,87.70086669921875,40.61542892456055,31.78949928283691,25.851417541503903,2312,417,52,211,1124,54,0.03660561137727908,328.1379325472503
Dinizia excelsa Ducke,-56.893889,-2.891389,76.26275634765625,67.24627685546875,33.07324981689453,26.430707931518555,2474,341,75,289,941,39,0.05117570756613697,344.6717885401677
Dinizia excelsa Ducke,-59,-1,79.74312591552734,51.84115982055664,32.23225021362305,26.27833366394043,2273,339,101,313,646,122,0.06241832440723766,149.9319231430271
Dinizia excelsa Ducke,-56.457222,-1.815556,78.56199645996094,65.53587341308594,32.84225082397461,26.23200035095215,2431,399,61,274,983,98,0.12951075577420662,131.54098721091975
Dinizia excelsa Ducke,-51.986389,-2.301667,83.08879852294922,51.74192810058594,32.23149871826172,25.84145736694336,2174,342,47,163,878,51,0.0397783101117399,262.1386424279129
Dinizia excelsa Ducke,-48.473333,-2.102778,86.66753387451172,37.96368789672851,31.253250122070313,25.771333694458008,2390,419,72,334,1133,36,0.01265009662639825,10.556940545742604
Dinizia excelsa Ducke,-48.288222,-3.725667,85.0475082397461,41.24590301513672,31.98175048828125,25.653541564941406,1964,374,36,207,983,130,0.01667168795100174,207.650343707358
Dinizia excelsa Ducke,-49.16,-3.035278,87.34009552001953,43.505584716796875,32.1515007019043,25.97366714477539,2350,423,46,213,1142,55,0.02957688758200273,9.78280335992007
Dinizia excelsa Ducke,-59.116667,-0.583333,80.0585708618164,51.33632278442383,32.129249572753906,26.200166702270508,2221,333,103,322,714,156,0.146197862760741,233.64554947139808
Dinizia excelsa Ducke,-59.116667,0.583333,79.5179443359375,53.92979049682617,32.474998474121094,26.253623962402344,1925,334,79,261,817,160,0.07759867586047625,264.25147139796877
Dinizia excelsa Ducke,-63,-5,83.37376403808594,26.73757553100586,32.41475296020508,26.704124450683594,2406,307,80,665,389,37,0.00387928496404588,53.05300469601114
Dinizia excelsa Ducke,-52.916667,-1.116667,81.69377136230469,61.066070556640625,32.26824951171875,25.820249557495117,1903,286,41,142,653,80,0.1006159965617018,212.23414637100825
Dinizia excelsa Ducke,-52.583333,-0.666667,81.31414031982422,62.38731002807617,32.42974853515625,25.808334350585938,2254,321,50,182,769,77,0.1400032670120768,147.8463556578248
Dinizia excelsa Ducke,-52.7,-0.783333,81.25950622558594,61.535404205322266,31.978500366210938,25.465499877929688,2171,310,49,171,750,147,0.33171329983551734,142.5904262781454
Dinizia excelsa Ducke,-54.718333,-2.436111,77.29105377197266,63.638057708740234,31.684249877929688,25.825416564941406,1989,361,29,140,976,24,0.15474795313333717,6.019239724066047
Dinizia excelsa Ducke,-58.966667,-0.116667,79.57200622558594,52.8272590637207,31.878999710083008,25.74795913696289,2155,341,97,307,774,245,0.18239044503702936,253.9191508009715
Dinizia excelsa Ducke,-63,-11,71.32849884033203,56.46332931518555,32.916500091552734,24.739999771118164,1729,284,10,257,117,283,0.06509267319444564,80.02960901359694
Dinizia excelsa Ducke,-60.05,-3.166667,81.79431915283203,49.14425277709961,32.04050064086914,26.337749481201172,2198,298,54,368,863,27,0.02275239142020317,154.85979794166897
Dinizia excelsa Ducke,-59.800556,-2.991389,80.688385009765625,49.45139694213867,31.88774871826172,26.183834075927734,2345,304,79,397,852,81,0.09139823194682847,165.8016330220956
Dinizia excelsa Ducke,-53,-4,79.53461456298828,46.73554992675781,31.556499481201172,24.70716667175293,1722,309,36,183,811,179,0.03967161313436596,14.115424339134693
Dinizia excelsa Ducke,-52.8731,-10.8339,69.62115478515625,56.69300079345703,34.96424865722656,25.757583618164063,2063,347,3,539,57,308,0.02112530790123381,260.46992671871993
Dinizia excelsa Ducke,-51.855556,1.515833,77.81646728515625,68.22516632080078,32.217498779296875,25.478166580200195,2446,335,54,193,872,155,0.03864770836383321,202.31491760420204
Dinizia excelsa Ducke,-67.81,-9.9747,70.40094757080078,85.01011657714844,32.122249603271484,25.757333755493164,1668,206,61,485,227,156,0.01019381060253258,122.25779377721078
Dinizia excelsa Ducke,-48.81,-3.483056,87.7900161743164,41.86274337768555,31.859498977661133,25.86170768737793,2168,401,42,209,1076,85,0.05944322784282921,324.1623250329938
Dinizia excelsa Ducke,-52.63,0.57,80.29267120361328,64.842437744140625,30.774999618530273,24.183582305908203,2413,321,60,209,844,411,0.20217916756580537,95.8471491455679
Dinizia excelsa Ducke,-52.08,0.39,79.930755615234375,65.759979248046875,31.98324966430664,25.418874740600582,2380,328,52,188,865,162,0.09188885302088624,89.03067387519148
Dinizia excelsa Ducke,-51.61687,-0.012935833,79.63191986083984,65.7543716430664,32.82099914550781,25.856250762939453,2372,337,42,176,905,25,0.06260613410193117,121.01201044885777
Dinizia excelsa Ducke,-51.18,2.75,75.32393646240234,66.43402099609375,32.5994987487793,25.80179214477539,2807,413,51,196,987,59,0.08401030008107342,66.2683238849665
Dinizia excelsa Ducke,-51.36,1.35,76.36022186279297,72.65238189697266,32.20750045776367,25.54341697692871,2421,344,42,153,923,142,0.03502379646145737,112.16431423000871
Dinizia excelsa Ducke,-51.71,2.48,76.53456115722656,65.8624496459961,32.22249984741211,25.34612464904785,2635,381,55,201,910,162,0.1408787638148569,43.71847937112981
Dinizia excelsa Ducke,-51.04,2.21,73.94593811035156,73.14632415771484,32.58124923706055,25.90541648864746,2656,383,42,161,958,58,0.09607819156623776,71.6090081621228
Dinizia excelsa Ducke,-52.45,0.9,79.90779113769531,65.03289794921875,32.054500579833984,25.42104148864746,2393,320,63,210,829,167,0.11728865803631867,35.40323736445838
Dinizia excelsa Ducke,-51.18,3.24,74.10740661621094,62.537696838378906,32.94974899291992,25.947250366210938,2955,437,52,208,1040,19,0.07012670698940619,52.038407885931655
Dinizia excelsa Ducke,-51.31,2.93,75.12821197509766,64.55435943603516,32.60350036621094,25.786209106445313,2844,423,51,188,1008,54,0.06918376940259416,67.19527092446067
Dinizia excelsa Ducke,-51.899289,0.129209,80.16618347167969,64.46949768066406,32.22650146484375,25.686708450317383,2389,330,47,183,882,104,0.1163983774401268,112.78619959122771
Dinizia excelsa Ducke,-51.18,1.76,75.20294189453125,73.1820297241211,32.3432502746582,25.714458465576172,2505,358,40,154,943,106,0.12287301695774729,74.78077761421704
Dinizia excelsa Ducke,-51.4,2.39,75.67882537841797,68.14057159423828,32.47774887084961,25.687957763671875,2691,388,51,193,938,97,0.11272205513605305,72.33859862639166
Dinizia excelsa Ducke,-51.8,3.43,75.0655517578125,56.937232971191406,32.486000061035156,25.46404266357422,3153,500,78,280,1038,96,0.0888282573455895,51.592502034649726
Dinizia excelsa Ducke,-51.18,3.43,72.20857238769531,62.414608001708984,33.23524856567383,26.0488338470459,2964,419,53,213,1065,7,0.03918694827448501,60.273584806418384
Dinizia excelsa Ducke,-51.04,2.48,74.0407943725586,72.23548126220703,32.7130012512207,25.944292068481445,2665,388,43,162,957,45,0.08712791462763997,74.21172421001879
Dinizia excelsa Ducke,-51.31,2.16,74.86346435546875,72.06009674072266,32.4057502746582,25.753000259399418,2595,371,45,168,948,92,0.09356937693146249,63.61469033464415
Dinizia excelsa Ducke,-51.53,2.03,76.58323669433594,69.57140350341797,32.013248443603516,25.26224899291992,2574,362,52,192,921,189,0.10740996377515982,88.75607928151432
Dinizia excelsa Ducke,-52.18,1.22,79.15091705322266,66.46350860595703,32.052249908447266,25.377500534057617,2406,325,63,207,844,176,0.01845791890270003,157.88079578661072
Dinizia excelsa Ducke,-52.22,0.81,79.82855987548828,65.7359619140625,31.930500030517575,25.334583282470703,2395,324,61,207,844,181,0.09753039154028544,67.26246337239951
Dinizia excelsa Ducke,-51.93,2.93,75.55289459228516,59.46723556518555,32.35200119018555,25.339750289916992,2775,414,59,253,934,148,0.08547754905744978,68.671159105266
Dinizia excelsa Ducke,-51.75,3.24,75.0606918334961,57.92072296142578,32.44050216674805,25.414125442504883,3002,463,72,257,1003,113,0.08326685429280012,59.731116656894194
Dinizia excelsa Ducke,-52.35,0.16,80.518951416015625,63.537132263183594,31.69824981689453,25.17191696166992,2397,318,52,195,857,217,0.10982601619499664,214.46422920179964
Dinizia excelsa Ducke,-52.95556944,1.018297222,80.78667449951172,63.070194244384766,31.513750076293945,24.8439998626709,2367,326,61,212,794,289,0.08493703180524302,43.70401622572565
Dinizia excelsa Ducke,-52.08,0.9,78.99652862548828,67.31892395019531,32.19874954223633,25.532291412353516,2404,331,65,210,851,147,0.01310625007279441,168.10027792820685
Dinizia excelsa Ducke,-52.08,1.26,78.92192840576172,67.700164794921875,32.138999938964844,25.45862579345703,2411,328,62,203,857,159,0.02268881439928508,60.2164417321462
Dinizia excelsa Ducke,-53.225626,0.77088,81.27461242675781,60.67563247680664,31.760250091552734,25.143333435058594,2324,329,60,212,785,242,0.1504410961260481,95.3359948714904
Dinizia excelsa Ducke,-52.384179,0.730238,80.150299072265625,65.02742004394531,31.780000686645508,25.176708221435547,2406,320,61,211,835,213,0.238303987364185,50.74717577115319
Dinizia excelsa Ducke,-60.17,-2.63,82.4005355834961,43.955692291259766,31.808250427246097,26.222749710083008,2355,313,82,409,821,69,0.04382116813134706,240.8063750728649
Dinizia excelsa Ducke,-51.51,-1.73,83.68457794189453,48.858375549316406,32.18299865722656,25.774999618530273,2231,329,48,190,831,45,0.0283236486162034,84.48848234932181
