variavel_1,variavel_2,correlacao
argila,temperatura_maxima,0.03985051921311705
temperatura_maxima,temperatura_maxima,1
temperatura_minima,temperatura_maxima,0.9482351766578447
sazonalidade_termica,temperatura_maxima,0.7206631137413133
precipitacao_trimestre_umido,temperatura_maxima,0.0670282722670376
precipitacao_trimestre_seco,temperatura_maxima,0.07163935860950427
areia,temperatura_maxima,-0.03270476767578166
temperatura_media,temperatura_minima,0.9741752085467358
precipitacao_anual,temperatura_minima,0.09118728095606184
elevacao,temperatura_minima,-0.3528582311076754
ph_solo,temperatura_minima,-0.0016915505349848424
argila,temperatura_minima,0.032087895797466626
temperatura_maxima,temperatura_minima,0.9482351766578447
temperatura_minima,temperatura_minima,1
sazonalidade_termica,temperatura_minima,0.5812957561370324
precipitacao_trimestre_umido,temperatura_minima,0.06993024880114174
precipitacao_trimestre_seco,temperatura_minima,0.058753703955079596
areia,temperatura_minima,-0.02420212132297081
temperatura_media,sazonalidade_termica,0.6459509779538145
precipitacao_anual,sazonalidade_termica,0.0982828081002296
elevacao,sazonalidade_termica,-0.04908500147215519
ph_solo,sazonalidade_termica,-0.02822387022355544
argila,sazonalidade_termica,0.03690478663637241
temperatura_maxima,sazonalidade_termica,0.7206631137413133
temperatura_minima,sazonalidade_termica,0.5812957561370324
sazonalidade_termica,sazonalidade_termica,1
precipitacao_trimestre_umido,sazonalidade_termica,0.06983652518406654
precipitacao_trimestre_seco,sazonalidade_termica,0.10880293314295637
areia,sazonalidade_termica,-0.028416205472871083
temperatura_media,precipitacao_trimestre_umido,0.058834537425102626
precipitacao_anual,precipitacao_trimestre_umido,0.8874256451816149
elevacao,precipitacao_trimestre_umido,-0.004727421285151229
ph_solo,precipitacao_trimestre_umido,0.04594820799597116
argila,precipitacao_trimestre_umido,0.03674417692313699
temperatura_maxima,precipitacao_trimestre_umido,0.0670282722670376
temperatura_minima,precipitacao_trimestre_umido,0.06993024880114174
sazonalidade_termica,precipitacao_trimestre_umido,0.06983652518406654
precipitacao_trimestre_umido,precipitacao_trimestre_umido,1
precipitacao_trimestre_seco,precipitacao_trimestre_umido,0.6099331585228632
areia,precipitacao_trimestre_umido,-0.023339578010192784
temperatura_media,precipitacao_trimestre_seco,0.051393844041187346
precipitacao_anual,precipitacao_trimestre_seco,0.7031733996925381
elevacao,precipitacao_trimestre_seco,-0.0067963711967206466
ph_solo,precipitacao_trimestre_seco,0.04032869378165054
argila,precipitacao_trimestre_seco,0.05421395489485871
temperatura_maxima,precipitacao_trimestre_seco,0.07163935860950427
temperatura_minima,precipitacao_trimestre_seco,0.058753703955079596
sazonalidade_termica,precipitacao_trimestre_seco,0.10880293314295637
precipitacao_trimestre_umido,precipitacao_trimestre_seco,0.6099331585228632
precipitacao_trimestre_seco,precipitacao_trimestre_seco,1
areia,precipitacao_trimestre_seco,-0.0448224979140985
temperatura_media,areia,-0.02893831989884333
precipitacao_anual,areia,-0.013017172763676936
elevacao,areia,0.02339247617944646
ph_solo,areia,0.009450346903736206
argila,areia,-0.909953066608661
temperatura_maxima,areia,-0.03270476767578166
temperatura_minima,areia,-0.02420212132297081
sazonalidade_termica,areia,-0.028416205472871083
precipitacao_trimestre_umido,areia,-0.023339578010192784
precipitacao_trimestre_seco,areia,-0.0448224979140985
areia,areia,1
