var1,var2,correlacao,correlacao_abs
bio8_temp_media_trimestre_umido,bio19_precipitacao_trimestre_frio,0.12387993694325287,0.12387993694325287
bio8_temp_media_trimestre_umido,elevacao,-0.7748578465693453,0.7748578465693453
bio8_temp_media_trimestre_umido,declividade,-0.34868463306515995,0.34868463306515995
bio8_temp_media_trimestre_umido,orientacao,0.021709728829038797,0.021709728829038797
bio12_precipitacao_anual,bio3_isotermalidade,0.546561053740126,0.546561053740126
bio12_precipitacao_anual,bio4_sazonalidade_temperatura,-0.46128792958821513,0.46128792958821513
bio12_precipitacao_anual,bio5_temp_max_mes_quente,-0.402279409903522,0.402279409903522
bio12_precipitacao_anual,bio8_temp_media_trimestre_umido,0.304958892038487,0.304958892038487
bio12_precipitacao_anual,bio12_precipitacao_anual,1,1
bio12_precipitacao_anual,bio13_precipitacao_mes_umido,0.44124121538496835,0.44124121538496835
bio12_precipitacao_anual,bio14_precipitacao_mes_seco,0.7845374088354606,0.7845374088354606
bio12_precipitacao_anual,bio18_precipitacao_trimestre_quente,0.4690822448048019,0.4690822448048019
bio12_precipitacao_anual,bio19_precipitacao_trimestre_frio,0.27893855766068654,0.27893855766068654
bio12_precipitacao_anual,elevacao,-0.3803513932831081,0.3803513932831081
bio12_precipitacao_anual,declividade,-0.1934708113663954,0.1934708113663954
bio12_precipitacao_anual,orientacao,-0.09297898275824469,0.09297898275824469
bio13_precipitacao_mes_umido,bio3_isotermalidade,0.18692085739382353,0.18692085739382353
bio13_precipitacao_mes_umido,bio4_sazonalidade_temperatura,-0.1476264559796199,0.1476264559796199
bio13_precipitacao_mes_umido,bio5_temp_max_mes_quente,-0.020925772037581097,0.020925772037581097
bio13_precipitacao_mes_umido,bio8_temp_media_trimestre_umido,0.03832864769363162,0.03832864769363162
bio13_precipitacao_mes_umido,bio12_precipitacao_anual,0.44124121538496835,0.44124121538496835
bio13_precipitacao_mes_umido,bio13_precipitacao_mes_umido,1,1
bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,0.09196628122446572,0.09196628122446572
bio13_precipitacao_mes_umido,bio18_precipitacao_trimestre_quente,-0.28801161727617886,0.28801161727617886
bio13_precipitacao_mes_umido,bio19_precipitacao_trimestre_frio,0.4820741599305532,0.4820741599305532
bio13_precipitacao_mes_umido,elevacao,-0.1895519775122492,0.1895519775122492
bio13_precipitacao_mes_umido,declividade,-0.03588867849892421,0.03588867849892421
bio13_precipitacao_mes_umido,orientacao,-0.015183694501700398,0.015183694501700398
bio14_precipitacao_mes_seco,bio3_isotermalidade,0.7798665318679614,0.7798665318679614
bio14_precipitacao_mes_seco,bio4_sazonalidade_temperatura,-0.35928264244076047,0.35928264244076047
bio14_precipitacao_mes_seco,bio5_temp_max_mes_quente,-0.5902547417740387,0.5902547417740387
bio14_precipitacao_mes_seco,bio8_temp_media_trimestre_umido,0.358433392020129,0.358433392020129
bio14_precipitacao_mes_seco,bio12_precipitacao_anual,0.7845374088354606,0.7845374088354606
bio14_precipitacao_mes_seco,bio13_precipitacao_mes_umido,0.09196628122446572,0.09196628122446572
bio14_precipitacao_mes_seco,bio14_precipitacao_mes_seco,1,1
bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,0.48684581875361677,0.48684581875361677
bio14_precipitacao_mes_seco,bio19_precipitacao_trimestre_frio,0.2561287859749027,0.2561287859749027
bio14_precipitacao_mes_seco,elevacao,-0.37457943113262326,0.37457943113262326
bio14_precipitacao_mes_seco,declividade,-0.08747621731759352,0.08747621731759352
bio14_precipitacao_mes_seco,orientacao,-0.07679005575780323,0.07679005575780323
bio18_precipitacao_trimestre_quente,bio3_isotermalidade,0.2217175105683535,0.2217175105683535
bio18_precipitacao_trimestre_quente,bio4_sazonalidade_temperatura,-0.05899092839740268,0.05899092839740268
bio18_precipitacao_trimestre_quente,bio5_temp_max_mes_quente,-0.324484963865652,0.324484963865652
bio18_precipitacao_trimestre_quente,bio8_temp_media_trimestre_umido,0.1614566521158189,0.1614566521158189
bio18_precipitacao_trimestre_quente,bio12_precipitacao_anual,0.4690822448048019,0.4690822448048019
bio18_precipitacao_trimestre_quente,bio13_precipitacao_mes_umido,-0.28801161727617886,0.28801161727617886
bio18_precipitacao_trimestre_quente,bio14_precipitacao_mes_seco,0.48684581875361677,0.48684581875361677
bio18_precipitacao_trimestre_quente,bio18_precipitacao_trimestre_quente,1,1
bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,-0.43623533982861445,0.43623533982861445
bio18_precipitacao_trimestre_quente,elevacao,-0.0038008675281381633,0.0038008675281381633
bio18_precipitacao_trimestre_quente,declividade,-0.15689008938077537,0.15689008938077537
bio18_precipitacao_trimestre_quente,orientacao,-0.08575734466558209,0.08575734466558209
bio19_precipitacao_trimestre_frio,bio3_isotermalidade,0.34440833412827226,0.34440833412827226
bio19_precipitacao_trimestre_frio,bio4_sazonalidade_temperatura,-0.3070144328563693,0.3070144328563693
bio19_precipitacao_trimestre_frio,bio5_temp_max_mes_quente,-0.0533365304348988,0.0533365304348988
bio19_precipitacao_trimestre_frio,bio8_temp_media_trimestre_umido,0.12387993694325287,0.12387993694325287
bio19_precipitacao_trimestre_frio,bio12_precipitacao_anual,0.27893855766068654,0.27893855766068654
bio19_precipitacao_trimestre_frio,bio13_precipitacao_mes_umido,0.4820741599305532,0.4820741599305532
bio19_precipitacao_trimestre_frio,bio14_precipitacao_mes_seco,0.2561287859749027,0.2561287859749027
bio19_precipitacao_trimestre_frio,bio18_precipitacao_trimestre_quente,-0.43623533982861445,0.43623533982861445
bio19_precipitacao_trimestre_frio,bio19_precipitacao_trimestre_frio,1,1
bio19_precipitacao_trimestre_frio,elevacao,-0.2701859929061256,0.2701859929061256
bio19_precipitacao_trimestre_frio,declividade,0.06934164607527882,0.06934164607527882
bio19_precipitacao_trimestre_frio,orientacao,0.03040359873297522,0.03040359873297522
elevacao,bio3_isotermalidade,-0.47321498390682604,0.47321498390682604
elevacao,bio4_sazonalidade_temperatura,0.2996057398348612,0.2996057398348612
elevacao,bio5_temp_max_mes_quente,0.17608968828809016,0.17608968828809016
elevacao,bio8_temp_media_trimestre_umido,-0.7748578465693453,0.7748578465693453
elevacao,bio12_precipitacao_anual,-0.3803513932831081,0.3803513932831081
elevacao,bio13_precipitacao_mes_umido,-0.1895519775122492,0.1895519775122492
elevacao,bio14_precipitacao_mes_seco,-0.37457943113262326,0.37457943113262326
elevacao,bio18_precipitacao_trimestre_quente,-0.0038008675281381633,0.0038008675281381633
elevacao,bio19_precipitacao_trimestre_frio,-0.2701859929061256,0.2701859929061256
elevacao,elevacao,1,1
elevacao,declividade,0.45870454076109657,0.45870454076109657
elevacao,orientacao,0.0031793210899337507,0.0031793210899337507
declividade,bio3_isotermalidade,-0.04875172478965857,0.04875172478965857
declividade,bio4_sazonalidade_temperatura,0.16853708856953348,0.16853708856953348
declividade,bio5_temp_max_mes_quente,-0.019296444351287204,0.019296444351287204
declividade,bio8_temp_media_trimestre_umido,-0.34868463306515995,0.34868463306515995
declividade,bio12_precipitacao_anual,-0.1934708113663954,0.1934708113663954
declividade,bio13_precipitacao_mes_umido,-0.03588867849892421,0.03588867849892421
declividade,bio14_precipitacao_mes_seco,-0.08747621731759352,0.08747621731759352
declividade,bio18_precipitacao_trimestre_quente,-0.15689008938077537,0.15689008938077537
declividade,bio19_precipitacao_trimestre_frio,0.06934164607527882,0.06934164607527882
declividade,elevacao,0.45870454076109657,0.45870454076109657
declividade,declividade,1,1
declividade,orientacao,0.022915427576428678,0.022915427576428678
orientacao,bio3_isotermalidade,-0.09255838678009067,0.09255838678009067
orientacao,bio4_sazonalidade_temperatura,0.003234470677283388,0.003234470677283388
orientacao,bio5_temp_max_mes_quente,0.08372108550814332,0.08372108550814332
orientacao,bio8_temp_media_trimestre_umido,0.021709728829038797,0.021709728829038797
orientacao,bio12_precipitacao_anual,-0.09297898275824469,0.09297898275824469
orientacao,bio13_precipitacao_mes_umido,-0.015183694501700398,0.015183694501700398
orientacao,bio14_precipitacao_mes_seco,-0.07679005575780323,0.07679005575780323
orientacao,bio18_precipitacao_trimestre_quente,-0.08575734466558209,0.08575734466558209
orientacao,bio19_precipitacao_trimestre_frio,0.03040359873297522,0.03040359873297522
orientacao,elevacao,0.0031793210899337507,0.0031793210899337507
orientacao,declividade,0.022915427576428678,0.022915427576428678
orientacao,orientacao,1,1
