especie,lon,lat,bio1_temp_media_anual,bio4_sazonalidade_temp,bio12_precipitacao_anual,bio15_sazonalidade_prec
Dinizia excelsa Ducke,-64.440833,-9.264167,26.065073013305664,50.661773681640625,1996,60.584510803222656
Dinizia excelsa Ducke,-64.736111,-9.744722,26.06261444091797,55.49674987792969,1807,60.15212631225586
Dinizia excelsa Ducke,-65.355556000000007,-4.898333,26.388093948364258,28.80950355529785,2461,41.718101501464844
Dinizia excelsa Ducke,-64.617222,-9.263056,26.078155517578125,50.56161117553711,1948,59.93825149536133
Dinizia excelsa Ducke,-64.95,-9.646944,26.2020206451416,54.94429016113281,1779,59.606590270996094
Dinizia excelsa Ducke,-65.16,-4.885833,26.414854049682617,28.099424362182617,2430,41.17673873901367
Dinizia excelsa Ducke,-48.798889,-2.797222,26.3261775970459,40.61542892456055,2312,74.16242218017578
Dinizia excelsa Ducke,-56.893889,-2.891389,27.03041648864746,67.24627685546875,2474,46.06710433959961
Dinizia excelsa Ducke,-56.893889,-2.158167,26.841917037963867,66.43138122558594,2417,59.622318267822266
Dinizia excelsa Ducke,-59,-1,26.562843322753906,51.84115982055664,2273,44.799278259277344
Dinizia excelsa Ducke,-56.457222,-1.815556,26.685230255126953,65.53587341308594,2431,59.271392822265625
Dinizia excelsa Ducke,-59.96,-2.342,26.328718185424805,47.412681579589844,2393,39.419578552246094
Dinizia excelsa Ducke,-62.089167,-1.028611,26.416488647460938,31.432470321655273,2594,31.235824584960938
Dinizia excelsa Ducke,-51.986389,-2.301667,26.160614013671875,51.74192810058594,2174,63.34748077392578
Dinizia excelsa Ducke,-48.473333,-2.102778,26.192874908447266,37.963687896728516,2390,69.28260803222656
Dinizia excelsa Ducke,-48.171667,-3.433333,26.13963508605957,40.19551467895508,2045,76.07706451416016
Dinizia excelsa Ducke,-48.288222,-3.725667,26.13213539123535,41.24590301513672,1964,76.72270965576172
Dinizia excelsa Ducke,-48.470278,-3.290278,26.330801010131836,40.714012145996094,2125,75.72887420654297
Dinizia excelsa Ducke,-49.16,-3.035278,26.471115112304688,43.505584716796875,2350,75.16487121582031
Dinizia excelsa Ducke,-48.297778,-3.355,26.13963508605957,40.19551467895508,2045,76.07706451416016
Dinizia excelsa Ducke,-60.083333,-2.316667,26.340572357177734,44.91345977783203,2442,37.07215881347656
Dinizia excelsa Ducke,-59.685474,-2.31537,26.49834442138672,48.05419158935547,2398,39.275508880615234
Dinizia excelsa Ducke,-59.116667,-0.583333,26.449739456176758,51.33632278442383,2221,42.433040618896484
Dinizia excelsa Ducke,-59.116667,0.583333,26.584396362304688,53.92979049682617,1925,52.3963508605957
Dinizia excelsa Ducke,-59.888611,-2.429167,26.328718185424805,47.412681579589844,2393,39.419578552246094
Dinizia excelsa Ducke,-63,-5,26.743854522705078,26.73757553100586,2406,45.1275634765625
Dinizia excelsa Ducke,-59.7458,-2.41625,26.413854598999023,48.940696716308594,2376,40.118690490722656
Dinizia excelsa Ducke,-52.85,-0.45,25.489957809448242,61.304481506347656,2307,52.711280822753906
Dinizia excelsa Ducke,-52.916667,-1.116667,26.202709197998047,61.066070556640625,1903,57.84204864501953
Dinizia excelsa Ducke,-52.583333,-0.666667,26.201656341552734,62.38731002807617,2254,54.02383041381836
Dinizia excelsa Ducke,-52.7,-0.783333,25.851354598999023,61.535404205322266,2171,55.065818786621094
Dinizia excelsa Ducke,-52.85,-1.05,26.202709197998047,61.066070556640625,1903,57.84204864501953
Dinizia excelsa Ducke,-54.718333,-2.436111,26.368144989013672,63.638057708740234,1989,72.16143035888672
Dinizia excelsa Ducke,-63.22,-9.1,25.460166931152344,48.023101806640625,2297,67.95939636230469
Dinizia excelsa Ducke,-59.97,-2.883333,26.529739379882813,49.023834228515625,2319,45.93311309814453
Dinizia excelsa Ducke,-51.62,0.17,26.518447875976563,68.5295181274414,2338,58.30059051513672
Dinizia excelsa Ducke,-52,1,25.800416946411133,68.9582290649414,2379,51.67862319946289
Dinizia excelsa Ducke,-58.97,-4.116667,27.03668785095215,50.833099365234375,2234,45.07355499267578
Dinizia excelsa Ducke,-58.966667,-0.116667,26.074092864990234,52.8272590637207,2155,44.41805648803711
Dinizia excelsa Ducke,-51.616667,-0.166667,26.643959045410156,64.2341537475586,2383,52.940406799316406
Dinizia excelsa Ducke,-63.116665,-9.166667,25.32060432434082,48.35960006713867,2328,69.467437744140625
Dinizia excelsa Ducke,-63,-11,24.578582763671875,56.46332931518555,1729,67.23622131347656
Dinizia excelsa Ducke,-59.35,-10.2,25.02802085876465,49.40061950683594,1949,76.55518341064453
Dinizia excelsa Ducke,-60.05,-3.166667,26.79409408569336,49.14425277709961,2198,51.29417037963867
Dinizia excelsa Ducke,-59.800556,-2.991389,26.52155303955078,49.45139694213867,2345,43.65590286254883
Dinizia excelsa Ducke,-53,-4,25.16221809387207,46.73554992675781,1722,69.17488861083984
Dinizia excelsa Ducke,-53.08982,-10.773109,25.754499435424805,51.73551940917969,2121,78.16461944580078
Dinizia excelsa Ducke,-52.8731,-10.8339,25.70817756652832,56.69300079345703,2063,77.908538818359375
Dinizia excelsa Ducke,-51.855556,1.515833,25.898656845092773,68.22516632080078,2446,52.18834686279297
Dinizia excelsa Ducke,-67.81,-9.9747,25.3305721282959,85.01011657714844,1668,38.02523422241211
Dinizia excelsa Ducke,-48.81,-3.483056,26.343822479248047,41.86274337768555,2168,76.609405517578125
Dinizia excelsa Ducke,-54.3552,-11.5246,25.05231285095215,64.53893280029297,1890,82.608673095703125
Dinizia excelsa Ducke,-59.85,-2.39,26.328718185424805,47.412681579589844,2393,39.419578552246094
Dinizia excelsa Ducke,-51.63,0.86,26.13059425354004,70.84114837646484,2319,57.501220703125
Dinizia excelsa Ducke,-52.63,0.57,24.576770782470703,64.842437744140625,2413,49.61368179321289
Dinizia excelsa Ducke,-52.08,0.39,25.841093063354492,65.759979248046875,2380,51.8842658996582
Dinizia excelsa Ducke,-51.61687,-0.012935833,26.55709457397461,65.7543716430664,2372,55.34180450439453
Dinizia excelsa Ducke,-51.18,2.75,26.18489646911621,66.43402099609375,2807,56.08610153198242
Dinizia excelsa Ducke,-51.36,1.35,26.025447845458984,72.65238189697266,2421,58.02512741088867
Dinizia excelsa Ducke,-51.71,2.48,25.70831298828125,65.8624496459961,2635,53.491886138916016
Dinizia excelsa Ducke,-51.04,2.21,26.36707305908203,73.14632415771484,2656,58.37265396118164
Dinizia excelsa Ducke,-52.45,0.9,25.80971908569336,65.03289794921875,2393,48.37201690673828
Dinizia excelsa Ducke,-51.18,3.24,26.290292739868164,62.537696838378906,2955,56.976070404052734
Dinizia excelsa Ducke,-51.31,2.93,26.1531982421875,64.55435943603516,2844,57.158302307128906
Dinizia excelsa Ducke,-51.899289,0.129209,26.112186431884766,64.46949768066406,2389,53.33525848388672
Dinizia excelsa Ducke,-51.18,1.76,26.19365692138672,73.1820297241211,2505,58.54977035522461
Dinizia excelsa Ducke,-51.4,2.39,26.082813262939453,68.14057159423828,2691,55.050636291503906
Dinizia excelsa Ducke,-51.8,3.43,25.72123908996582,56.937232971191406,3153,52.90970993041992
Dinizia excelsa Ducke,-51.04,2.93,26.367958068847656,65.9004135131836,2743,59.74667739868164
Dinizia excelsa Ducke,-51.18,3.43,26.400592803955078,62.414608001708984,2964,56.86328887939453
Dinizia excelsa Ducke,-51.04,2.48,26.39592742919922,72.23548126220703,2665,58.48085403442383
Dinizia excelsa Ducke,-51.31,2.16,26.207822799682617,72.06009674072266,2595,57.54363250732422
Dinizia excelsa Ducke,-51.53,2.03,25.67675018310547,69.57140350341797,2574,54.39032745361328
Dinizia excelsa Ducke,-51.04,2.3,26.36707305908203,73.14632415771484,2656,58.37265396118164
Dinizia excelsa Ducke,-52.18,1.22,25.784177780151367,66.46350860595703,2406,49.554874420166016
Dinizia excelsa Ducke,-51.4,2.48,26.082813262939453,68.14057159423828,2691,55.050636291503906
Dinizia excelsa Ducke,-52.22,0.81,25.746219635009766,65.7359619140625,2395,49.14222717285156
Dinizia excelsa Ducke,-51.49,2.48,26.082813262939453,68.14057159423828,2691,55.050636291503906
Dinizia excelsa Ducke,-51.31,1.71,26.19365692138672,73.1820297241211,2505,58.54977035522461
Dinizia excelsa Ducke,-51.93,2.93,25.618240356445313,59.46723556518555,2775,52.3837776184082
Dinizia excelsa Ducke,-51.75,3.24,25.68682289123535,57.92072296142578,3002,52.91459274291992
Dinizia excelsa Ducke,-52.31,1.26,25.784177780151367,66.46350860595703,2406,49.554874420166016
Dinizia excelsa Ducke,-52.35,0.16,25.571489334106445,63.537132263183594,2397,51.32589340209961
Dinizia excelsa Ducke,-51.89711,0.126236,26.112186431884766,64.46949768066406,2389,53.33525848388672
Dinizia excelsa Ducke,-52.18,1.26,25.784177780151367,66.46350860595703,2406,49.554874420166016
Dinizia excelsa Ducke,-52.35,0.9,25.80971908569336,65.03289794921875,2393,48.37201690673828
Dinizia excelsa Ducke,-52.95556944,1.018297222,25.198156356811523,63.070194244384766,2367,48.416603088378906
Dinizia excelsa Ducke,-52.08,0.9,25.96527099609375,67.31892395019531,2404,49.08628845214844
Dinizia excelsa Ducke,-52.94613611,1.018688889,25.198156356811523,63.070194244384766,2367,48.416603088378906
Dinizia excelsa Ducke,-52.08,1.26,25.881479263305664,67.700164794921875,2411,50.237239837646484
Dinizia excelsa Ducke,-53.225626,0.77088,25.490270614624023,60.67563247680664,2324,48.66542434692383
Dinizia excelsa Ducke,-53.227412,0.770044,25.490270614624023,60.67563247680664,2324,48.66542434692383
Dinizia excelsa Ducke,-52.384179,0.730238,25.575645446777344,65.02742004394531,2406,48.434791564941406
Dinizia excelsa Ducke,-60.16,-2.64,26.400270462036133,45.931480407714844,2363,41.54036331176758
Dinizia excelsa Ducke,-60.17,-2.63,26.518260955810547,43.955692291259766,2355,42.14772415161133
Dinizia excelsa Ducke,-59.96,-2.93,26.529739379882813,49.023834228515625,2319,45.93311309814453
Dinizia excelsa Ducke,-59.94,-2.92,26.529739379882813,49.023834228515625,2319,45.93311309814453
Dinizia excelsa Ducke,-59.95,-2.96,26.529739379882813,49.023834228515625,2319,45.93311309814453
Dinizia excelsa Ducke,-59.94,-2.98,26.529739379882813,49.023834228515625,2319,45.93311309814453
Dinizia excelsa Ducke,-59.92,-2.98,26.529739379882813,49.023834228515625,2319,45.93311309814453
Dinizia excelsa Ducke,-51.46,-1.71,26.20685386657715,47.94561767578125,2154,58.903907775878906
Dinizia excelsa Ducke,-51.51,-1.73,26.063884735107422,48.858375549316406,2231,58.40524673461914
Dinizia excelsa Ducke,-51.52,-1.75,26.063884735107422,48.858375549316406,2231,58.40524673461914
Dinizia excelsa Ducke,-51.59,-1.78,26.063884735107422,48.858375549316406,2231,58.40524673461914
Dinizia excelsa Ducke,-59.9,-2.97,26.529739379882813,49.023834228515625,2319,45.93311309814453
